KDSA	LONG_KDSA	LAT_KDSA	Bogennummer
023/135	15.5000	54.0000	00313
023/137	15.6667	54.0000	00316
023/139	15.8333	54.0000	00326
023/141	16.0000	54.0000	00338
023/143	16.1667	54.0000	00345
023/145	16.3333	54.0000	00352
023/147	16.5000	54.0000	00353
023/149	16.6667	54.0000	00358
023/151	16.8333	54.0000	00362
023/153	17.0000	54.0000	00368
023/155	17.1667	54.0000	00373
023/165	18.0000	54.0000	00375
023/167	18.1667	54.0000	00376
023/169	18.3333	54.0000	00383
023/175	18.8333	54.0000	00386
023/177	19.0000	54.0000	00391
023/179	19.1667	54.0000	00392
023/181	19.3333	54.0000	03061
023/183	19.5000	54.0000	03076
023/185	19.6667	54.0000	03081
023/187	19.8333	54.0000	03085
023/189	20.0000	54.0000	03092
023/191	20.1667	54.0000	03098
023/193	20.3333	54.0000	03109
023/195	20.5000	54.0000	03119
023/197	20.6667	54.0000	03124
023/199	20.8333	54.0000	03135
023/201	21.0000	54.0000	03138
023/203	21.1667	54.0000	03148
023/205	21.3333	54.0000	03150
023/207	21.5000	54.0000	03152
023/215	22.1667	54.0000	03157
023/217	22.3333	54.0000	03159
024/053	 8.6667	53.9167	48223
024/057	 9.0000	53.9167	48233
024/059	 9.1667	53.9167	48237
024/061	 9.3333	53.9167	48785
024/063	 9.5000	53.9167	48789
024/065	 9.6667	53.9167	48796
024/067	 9.8333	53.9167	48802
024/069	10.0000	53.9167	48806
024/071	10.1667	53.9167	48817
024/073	10.3333	53.9167	48832
024/075	10.5000	53.9167	48846
024/077	10.6667	53.9167	48862
024/079	10.8333	53.9167	48867
024/081	11.0000	53.9167	48876
024/083	11.1667	53.9167	48891
024/085	11.3333	53.9167	48897
024/087	11.5000	53.9167	48910
024/089	11.6667	53.9167	48916
024/091	11.8333	53.9167	48926
024/093	12.0000	53.9167	48942
024/095	12.1667	53.9167	48953
024/097	12.3333	53.9167	50629
024/099	12.5000	53.9167	50632
024/101	12.6667	53.9167	50641
024/103	12.8333	53.9167	50651
024/105	13.0000	53.9167	50656
024/107	13.1667	53.9167	50666
024/109	13.3333	53.9167	50680
024/111	13.5000	53.9167	50686
024/113	13.6667	53.9167	50693
024/115	13.8333	53.9167	50702
024/117	14.0000	53.9167	50709
024/119	14.1667	53.9167	50712
024/121	14.3333	53.9167	50717
024/123	14.5000	53.9167	50724
024/125	14.6667	53.9167	50733
024/127	14.8333	53.9167	50738
024/129	15.0000	53.9167	50746
024/131	15.1667	53.9167	50753
024/133	15.3333	53.9167	00219
024/135	15.5000	53.9167	00222
024/137	15.6667	53.9167	00228
024/139	15.8333	53.9167	00235
024/141	16.0000	53.9167	00246
024/143	16.1667	53.9167	00247
024/145	16.3333	53.9167	00258
024/147	16.5000	53.9167	00263
024/149	16.6667	53.9167	00270
024/151	16.8333	53.9167	00278
024/153	17.0000	53.9167	00280
024/155	17.1667	53.9167	00282
024/163	17.8333	53.9167	00286
024/165	18.0000	53.9167	00287
024/167	18.1667	53.9167	00290
