 20/165            54  15    18   0                        EST       61263 66346  
 20/167            54  15    18  10                        EST       61611 66360  
 20/169            54  15    18  20                        EST       61959 66374  
 20/171            54  15    18  30                        EST       62306 66389  
 20/173            54  15    18  40                        EST       62654 66404  
 20/175            54  15    18  50                        EST       63002 66421  
 20/177            54  15    19   0                        EST       63349 66438  
 20/179            54  15    19  10                        EST       63697 66456  
 20/181            54  15    19  20                        EST       64044 66474  
 20/183            54  15    19  30                        EST       64392 66494  
 20/185            54  15    19  40                        EST       64739 66514  
 20/187            54  15    19  50                        EST       65087 66534  
 20/189            54  15    20   0                        EST       65434 66556  
 20/191            54  15    20  10                        EST       65781 66578  
 20/193            54  15    20  20                        EST       66129 66601  
 20/195            54  15    20  30                        EST       66476 66625  
 20/197            54  15    20  40                        EST       66823 66649  
 20/199            54  15    20  50                        EST       67170 66674  
 20/201            54  15    21   0                        EST       67517 66700  
 20/203            54  15    21  10                        EST       67864 66727  
 20/205            54  15    21  20                        EST       68211 66754  
 20/207            54  15    21  30                        EST       68558 66782  
 20/209            54  15    21  40                        EST       68905 66811  
 20/211            54  15    21  50                        EST       69252 66840  
 20/213            54  15    22   0                        EST       69598 66870  
 20/215            54  15    22  10                        EST       69945 66901  
 20/217            54  15    22  20                        EST       70292 66933  
 20/219            54  15    22  30                        EST       70638 66965  
 21/ 55            54  10     8  50                        EST       42113 66430  
 21/ 57            54  10     9   0                        EST       42460 66404  
 21/ 59            54  10     9  10                        EST       42808 66378  
 21/ 61            54  10     9  20                        EST       43156 66353  
 21/ 63            54  10     9  30                        EST       43504 66328  
 21/ 65            54  10     9  40                        EST       43852 66304  
 21/ 67            54  10     9  50                        EST       44199 66282  
 21/ 69            54  10    10   0                        EST       44547 66259  
 21/ 71            54  10    10  10                        EST       44895 66238  
 21/ 73            54  10    10  20                        EST       45243 66217  
 21/ 75            54  10    10  30                        EST       45591 66197  
 21/ 77            54  10    10  40                        EST       45940 66178  
 21/ 79            54  10    10  50                        EST       46288 66159  
 21/ 87            54  10    11  30                        EST       47681 66092  
 21/ 89            54  10    11  40                        EST       48029 66077  
 21/ 91            54  10    11  50                        EST       48377 66063  
 21/ 93            54  10    12   0                        EST       48726 66049  
 21/ 95            54  10    12  10                        EST       49074 66036  
 21/ 97            54  10    12  20                        EST       49423 66024  
 21/ 99            54  10    12  30                        EST       49771 66013  
 21/101            54  10    12  40                        EST       50120 66002  
 21/103            54  10    12  50                        EST       50468 65993  
 21/105            54  10    13   0                        EST       50817 65983  
 21/107            54  10    13  10                        EST       51165 65975  
 21/109            54  10    13  20                        EST       51514 65967  
 21/111            54  10    13  30                        EST       51862 65960  
 21/113            54  10    13  40                        EST       52211 65954  
 21/131            54  10    15  10                        EST       55349 65931  
 21/133            54  10    15  20                        EST       55697 65932  
 21/135            54  10    15  30                        EST       56046 65934  
 21/137            54  10    15  40                        EST       56395 65937  
 21/139            54  10    15  50                        EST       56743 65940  
 21/141            54  10    16   0                        EST       57092 65944  
 21/143            54  10    16  10                        EST       57440 65949  
 21/145            54  10    16  20                        EST       57789 65954  
 21/147            54  10    16  30                        EST       58138 65960  
 21/149            54  10    16  40                        EST       58486 65967  
 21/151            54  10    16  50                        EST       58835 65975  
 21/153            54  10    17   0                        EST       59183 65983  
 21/155            54  10    17  10                        EST       59532 65993  
 21/157            54  10    17  20                        EST       59880 66002  
 21/159            54  10    17  30                        EST       60229 66013  
 21/163            54  10    17  50                        EST       60926 66036  
 21/165            54  10    18   0                        EST       61274 66049  
 21/167            54  10    18  10                        EST       61623 66063  
 21/169            54  10    18  20                        EST       61971 66077  
 21/171            54  10    18  30                        EST       62319 66092  
 21/173            54  10    18  40                        EST       62668 66108  
 21/175            54  10    18  50                        EST       63016 66124  
 21/177            54  10    19   0                        EST       63364 66141  
 21/179            54  10    19  10                        EST       63712 66159  
 21/181            54  10    19  20                        EST       64060 66178  
 21/183            54  10    19  30                        EST       64409 66197  
 21/185            54  10    19  40                        EST       64757 66217  
 21/187            54  10    19  50                        EST       65105 66238  
 21/189            54  10    20   0                        EST       65453 66259  
 21/191            54  10    20  10                        EST       65801 66282  
 21/193            54  10    20  20                        EST       66148 66304  
 21/195            54  10    20  30                        EST       66496 66328  
 21/197            54  10    20  40                        EST       66844 66353  
 21/199            54  10    20  50                        EST       67192 66378  
 21/201            54  10    21   0                        EST       67540 66404  
