	WORD	COGID	ALIGN
1880	64	1	f l ee sch
1881	64	1	f l ee sch
1882	94	1	f l e sch
1883	64	1	f l ee sch
1884	94	1	f l e sch
1885	94	1	f l e sch
1886	64	1	f l ee sch
1887	94	1	f l e sch
1888	63	1	f l ee s
1889	155	1	v l ee s
1890	98	1	f l e s k
1891	98	1	f l e s k
1892	66	1	f l ee s k
1893	91	1	f l ej s k
1894	34	1	f l äi s k
1895	84	1	f l ei s k
1896	99	1	f l e ss
1897	31	1	f l äi sch
1898	79	1	f l ei sch
1899	84	1	f l ei s k
1900	79	1	f l ei sch
1901	79	1	f l ei sch
1902	79	1	f l ei sch
1903	79	1	f l ei sch
1904	79	1	f l ei sch
1905	79	1	f l ei sch
1906	79	1	f l ei sch
1907	79	1	f l ei sch
1908	79	1	f l ei sch
1909	NA	1	NA
1910	94	1	f l e sch
1911	94	1	f l e sch
1912	94	1	f l e sch
1913	64	1	f l ee sch
1914	94	1	f l e sch
1915	94	1	f l e sch
1916	94	1	f l e sch
1917	64	1	f l ee sch
1918	64	1	f l ee sch
1919	94	1	f l e sch
1920	64	1	f l ee sch
1921	64	1	f l ee sch
1922	94	1	f l e sch
1923	64	1	f l ee sch
1924	94	1	f l e sch
1925	94	1	f l e sch
1926	94	1	f l e sch
1927	94	1	f l e sch
1928	64	1	f l ee sch
1929	64	1	f l ee sch
1930	64	1	f l ee sch
1931	64	1	f l ee sch
1932	64	1	f l ee sch
1933	64	1	f l ee sch
1934	64	1	f l ee sch
1935	64	1	f l ee sch
1936	64	1	f l ee sch
1937	64	1	f l ee sch
1938	64	1	f l ee sch
1939	94	1	f l e sch
1940	64	1	f l ee sch
1941	64	1	f l ee sch
1942	64	1	f l ee sch
1943	64	1	f l ee sch
1944	47	1	f l a sch
1945	64	1	f l ee sch
1946	94	1	f l e sch
1947	94	1	f l e sch
1948	64	1	f l ee sch
1949	63	1	f l ee s
1950	98	1	f l e s k
1951	66	1	f l ee s k
1952	34	1	f l äi s k
1953	84	1	f l ei s k
1954	98	1	f l e s k
1955	98	1	f l e s k
1956	66	1	f l ee s k
1957	79	1	f l ei sch
1958	84	1	f l ei s k
1959	87	1	f l ei ss k
1960	79	1	f l ei sch
1961	79	1	f l ei sch
1962	79	1	f l ei sch
1963	79	1	f l ei sch
1964	79	1	f l ei sch
1965	79	1	f l ei sch
1966	79	1	f l ei sch
1967	79	1	f l ei sch
1968	79	1	f l ei sch
1969	79	1	f l ei sch
1970	79	1	f l ei sch
1971	79	1	f l ei sch
1972	79	1	f l ei sch
1973	79	1	f l ei sch
1974	79	1	f l ei sch
1975	79	1	f l ei sch
1976	64	1	f l ee sch
1977	94	1	f l e sch
1978	64	1	f l ee sch
1979	94	1	f l e sch
1980	94	1	f l e sch
1981	64	1	f l ee sch
1982	94	1	f l e sch
1983	64	1	f l ee sch
1984	94	1	f l e sch
1985	94	1	f l e sch
1986	64	1	f l ee sch
1987	64	1	f l ee sch
1988	94	1	f l e sch
1989	64	1	f l ee sch
1990	94	1	f l e sch
1991	79	1	f l ei sch
1992	94	1	f l e sch
1993	94	1	f l e sch
1994	94	1	f l e sch
1995	94	1	f l e sch
1996	94	1	f l e sch
1997	64	1	f l ee sch
1998	94	1	f l e sch
1999	64	1	f l ee sch
2000	64	1	f l ee sch
2001	64	1	f l ee sch
2002	64	1	f l ee sch
2003	64	1	f l ee sch
2004	47	1	f l a sch
2005	94	1	f l e sch
2006	94	1	f l e sch
2007	94	1	f l e sch
2008	64	1	f l ee sch
2009	98	1	f l e s k
2010	98	1	f l e s k
2011	66	1	f l ee s k
2012	66	1	f l ee s k
2013	98	1	f l e s k
2014	32	1	f l äi sh
2015	98	1	f l e s k
2016	34	1	f l äi s k
2017	103	1	f l eui s k
2018	107	1	f l eu s k
2019	80	1	f l ei sch k
2020	84	1	f l ei s k
2021	64	1	f l ee sch
2022	79	1	f l ei sch
2023	79	1	f l ei sch
2024	79	1	f l ei sch
2025	79	1	f l ei sch
2026	79	1	f l ei sch
2027	79	1	f l ei sch
2028	79	1	f l ei sch
2029	79	1	f l ei sch
2030	79	1	f l ei sch
2031	79	1	f l ei sch
2032	79	1	f l ei sch
2033	79	1	f l ei sch
2034	79	1	f l ei sch
2035	64	1	f l ee sch
2036	94	1	f l e sch
2037	64	1	f l ee sch
2038	94	1	f l e sch
2039	94	1	f l e sch
2040	94	1	f l e sch
2041	64	1	f l ee sch
2042	64	1	f l ee sch
2043	64	1	f l ee sch
2044	64	1	f l ee sch
2045	64	1	f l ee sch
2046	64	1	f l ee sch
2047	64	1	f l ee sch
2048	94	1	f l e sch
2049	64	1	f l ee sch
2050	NA	1	NA
2051	94	1	f l e sch
2052	64	1	f l ee sch
2053	94	1	f l e sch
2054	94	1	f l e sch
2055	64	1	f l ee sch
2056	94	1	f l e sch
2057	94	1	f l e sch
2058	64	1	f l ee sch
2059	64	1	f l ee sch
2060	64	1	f l ee sch
2061	94	1	f l e sch
2062	94	1	f l e sch
2063	64	1	f l ee sch
2064	69	1	f l eh sch
2065	94	1	f l e sch
2066	46	1	f l ä s
2067	98	1	f l e s k
2068	98	1	f l e s k
2069	98	1	f l e s k
2070	98	1	f l e s k
2071	66	1	f l ee s k
2072	98	1	f l e s k
2073	81	1	f l ei sc k
2074	25	1	f l ai ck
2075	107	1	f l eu s k
2076	34	1	f l äi s k
2077	104	1	f l eui ss k
2078	84	1	f l ei s k
2079	105	1	f l eu sch
2080	79	1	f l ei sch
2081	79	1	f l ei sch
2082	79	1	f l ei sch
2083	79	1	f l ei sch
2084	79	1	f l ei sch
2085	79	1	f l ei sch
2086	79	1	f l ei sch
2087	79	1	f l ei sch
2088	79	1	f l ei sch
2089	79	1	f l ei sch
2090	79	1	f l ei sch
2091	79	1	f l ei sch
2092	79	1	f l ei sch
2093	79	1	f l ei sch
2094	94	1	f l e sch
2095	94	1	f l e sch
2096	64	1	f l ee sch
2097	64	1	f l ee sch
2098	64	1	f l ee sch
